Author,Title,Year,YoutubeId,Region
T.Love,Warszawa,1990,59JGY-K0BeQ,PL
Kazimiera Utrata,Piosenka o okularnikach,1990,o4FW6OvgYc4,PL
Dżem,List do M.,1991,KkhHF0qUsKE,PL
Bajm,Miłość i ja,1991,fdM4bmEynr0,PL
Wilki,Eroll,1991,MLVoulWIkSY,PL
Stanisław Soyka,Tolerancja (na miły Bóg),1991,FWZNF4F1r7Y,PL
Wilki,Son of the Blue Sky,1992,bix1tb6rVeU,PL
Róże Europy,Jedwab,1992,G_Lsdk88AYM,PL
IRA,Nadzieja,1992,RglHb09IZVM,PL
Maanam,Wyjątkowo zimny maj,1992,3Skn4vxU9cA,PL
Budka Suflera,Twoje radio,1992,vhgVHIw1h_4,PL
Hey,Teksański,1993,MISK-DCbNKk,PL
Bajm,Ta sama chwila,1993,RgunsXL9Lo0,PL
Edyta Bartosiewicz,Sen,1993,sVAZjaAJufE,PL
Grzegorz Turnau,Pamięć,1993,sXRcQvqaKHc,PL
Edyta Bartosiewicz,Koziorożec,1993,PNNRdZBYLpQ,PL
Edyta Górniak,To nie ja,1994,vxMY3sdkGQc,PL
Varius Manx,Zanim zrozumiesz,1994,DxWKCvpoPYI,PL
Kasia Kowalska,Jak rzecz,1994,BgoVxG0PDEA,PL
Justyna Steczkowska,Dziewczyna Szamana,1994,eVapbhUdI34,PL
Formacja Nieżywych Schabuff,Lato,1995,eaHbjnXItXc,PL
Robert Chojnacki & Piasek,Prawie do nieba,1995,OtEK498hmsg,PL
Myslovitz,Z twarzą Marilyn Monroe,1995,E3fqn1aBZ5Q,PL
Robert Chojnacki & Piasek,Budzikom śmierć,1995,4ggVYsZoZiA,PL
O.N.A.,Drzwi,1995,DurZn_NcPIA,PL
O.N.A.,Kiedy powiem sobie dość,1996,ghh0ttnRdiQ,PL
Varius Manx,Orła cień,1996,ZVF5x-YzUBY,PL
Big Cyc,Makumba,1996,EAexp0w3H3c,PL
Robert Chojnacki & Piasek,Niecierpliwi,1996,laUQy4DVxCA,PL
Anita Lipnicka,I wszystko się może zdarzyć,1996,3YxOZQqNYY8,PL
Kayah,Supermenka,1997,JTpos657Am0,PL
Budka Suflera,Takie tango,1997,_4_p3FM88jA,PL
Elektryczne Gitary,Kiler,1997,OtA2dxJNHV4,PL
